iter	Passed	Remaining
594	10528	7166
595	10539	7144
596	10559	7127
597	10572	7106
598	10581	7083
599	10590	7060
600	10599	7036
601	10612	7016
602	10624	6994
603	10640	6976
604	10649	6953
605	10668	6936
606	10680	6915
607	10690	6892
608	10706	6874
609	10719	6853
610	10731	6832
611	10736	6806
612	10746	6784
613	10757	6762
614	10763	6738
615	10776	6717
616	10792	6699
617	10798	6675
618	10809	6653
619	10830	6638
620	10854	6624
621	10861	6600
622	10878	6583
623	10891	6562
624	10910	6546
625	10926	6527
626	10936	6505
627	10958	6491
628	10969	6469
629	10988	6453
630	10996	6430
631	11019	6416
632	11043	6402
633	11055	6381
634	11148	6408
635	11183	6400
636	11210	6388
637	11245	6380
638	11258	6360
639	11266	6337
640	11271	6312
641	11278	6289
642	11288	6267
643	11298	6245
644	11314	6227
645	11330	6209
646	11339	6186
647	11362	6172
648	11381	6155
649	11387	6131
650	11398	6110
651	11415	6093
652	11433	6075
653	11443	6054
654	11462	6037
655	11474	6017
656	11483	5995
657	11503	5978
658	11509	5955
659	11516	5932
660	11532	5914
661	11545	5894
662	11563	5877
663	11575	5857
664	11593	5840
665	11615	5825
666	11625	5804
667	11643	5786
668	11659	5768
669	11671	5748
670	11694	5734
671	11706	5714
672	11715	5692
673	11731	5674
674	11753	5658
675	11797	5654
676	11805	5632
677	11817	5612
678	11822	5589
679	11850	5576
680	11856	5553
681	11872	5535
682	11896	5521
683	11921	5507
684	11928	5485
685	11940	5465
686	11963	5450
687	11974	5430
688	12004	5418
689	12023	5401
690	12029	5379
691	12034	5356
692	12040	5334
693	12047	5311
694	12058	5292
695	12076	5274
696	12101	5260
697	12111	5240
698	12161	5236
699	12216	5235
700	12229	5216
701	12242	5197
702	12252	5176
703	12267	5157
704	12300	5146
705	12337	5137
706	12350	5118
707	12372	5102
708	12385	5083
709	12397	5063
710	12410	5044
711	12438	5031
712	12451	5012
713	12471	4995
714	12488	4978
715	12507	4961
716	12512	4938
717	12534	4922
718	12546	4903
719	12554	4882
720	12559	4860
721	12571	4840
722	12596	4826
723	12603	4804
724	12610	4783
725	12621	4763
726	12636	4745
727	12666	4732
728	12703	4722
729	12715	4703
730	12726	4683
731	12736	4663
732	12746	4643
733	12766	4626
734	12784	4609
735	12795	4589
736	12833	4579
737	12855	4564
738	12908	4558
739	12949	4549
740	12980	4536
741	12993	4517
742	13007	4499
743	13056	4492
744	13091	4481
745	13106	4462
746	13160	4457
747	13235	4459
748	13336	4469
749	13399	4466
750	13449	4459
751	13457	4438
752	13503	4429
753	13515	4409
754	13527	4389
755	13539	4369
756	13576	4358
757	13592	4339
758	13656	4336
759	13676	4318
760	13703	4303
761	13750	4294
762	13756	4272
763	13784	4258
764	13820	4245
765	13863	4235
766	13883	4217
767	13899	4198
768	13920	4181
769	13957	4169
770	13964	4147
771	13982	4129
772	14008	4113
773	14030	4096
774	14043	4077
775	14069	4061
776	14124	4053
777	14133	4032
778	14145	4013
779	14179	3999
780	14203	3982
781	14234	3968
782	14253	3950
783	14263	3929
784	14283	3911
785	14351	3907
786	14470	3916
787	14501	3901
788	14521	3883
789	14563	3871
790	14625	3864
791	14634	3843
792	14650	3824
793	14674	3807
794	14702	3791
795	14766	3784
796	14792	3767
797	14867	3763
798	14944	3759
799	15010	3752
800	15031	3734
801	15090	3725
802	15114	3708
803	15153	3694
804	15192	3680
805	15225	3664
806	15283	3655
807	15305	3636
808	15341	3622
809	15372	3605
810	15401	3589
811	15410	3567
812	15443	3552
813	15501	3542
814	15647	3551
815	15670	3533
816	15716	3520
817	15759	3506
818	15774	3486
819	15819	3472
820	15833	3452
821	15858	3434
822	15883	3415
823	15934	3403
824	15991	3392
825	16009	3372
826	16056	3358
827	16085	3341
828	16107	3322
829	16126	3303
830	16182	3290
831	16206	3272
832	16231	3254
833	16261	3236
834	16350	3230
835	16422	3221
836	16456	3204
837	16505	3190
838	16560	3177
839	16594	3160
840	16778	3172
841	16843	3160
842	16873	3142
843	16919	3127
844	16940	3107
845	16965	3088
846	17001	3071
847	17068	3059
848	17128	3046
849	17185	3032
850	17231	3017
851	17271	3000
852	17344	2989
853	17388	2972
854	17400	2951
855	17420	2930
856	17437	2909
857	17514	2898
858	17551	2880
859	17622	2868
860	17684	2854
861	17767	2844
862	17914	2843
863	17964	2827
864	18023	2812
865	18082	2797
866	18138	2782
867	18174	2763
868	18238	2749
869	18268	2729
870	18310	2711
871	18384	2698
872	18443	2683
873	18512	2668
874	18570	2652
875	18585	2630
876	18606	2609
877	18628	2588
878	18668	2569
879	18710	2551
880	18784	2537
881	18824	2518
882	18874	2500
883	18901	2480
884	19100	2482
885	19169	2466
886	19192	2445
887	19234	2425
888	19257	2404
889	19296	2384
890	19346	2366
891	19376	2346
892	19410	2325
893	19450	2306
894	19482	2285
895	19539	2268
896	19668	2258
897	19767	2245
898	19791	2223
899	19847	2205
900	19897	2186
901	19944	2166
902	20008	2149
903	20046	2128
904	20187	2119
905	20552	2132
906	20594	2111
907	20653	2092
908	20713	2073
909	20745	2051
910	20776	2029
911	20792	2006
912	20833	1985
913	20875	1964
914	20938	1945
915	21015	1927
916	21066	1906
917	21080	1883
918	21138	1863
919	21214	1844
920	21271	1824
921	21304	1802
922	21368	1782
923	21422	1762
924	21501	1743
925	21701	1734
926	21753	1713
927	21827	1693
928	21927	1675
929	22021	1657
930	22057	1634
931	22104	1612
932	22161	1591
933	22236	1571
934	22310	1550
935	22348	1528
936	22431	1508
937	22470	1485
938	22508	1462
939	22587	1441
940	22604	1417
941	22650	1394
942	22741	1374
943	22775	1351
944	22797	1326
945	22827	1303
946	22951	1284
947	22964	1259
948	23003	1236
949	23044	1212
950	23078	1189
951	23100	1164
952	23111	1139
953	23133	1115
954	23145	1090
955	23162	1066
956	23180	1041
957	23218	1017
958	23260	994
959	23271	969
960	23290	945
961	23302	920
962	23325	896
963	23373	872
964	23391	848
965	23409	823
966	23427	799
967	23453	775
968	23475	751
969	23507	727
970	23535	702
971	23567	678
972	23591	654
973	23609	630
974	23623	605
975	23640	581
976	23653	556
977	23675	532
978	23712	508
979	23734	484
980	23747	459
981	23768	435
982	23781	411
983	23803	387
984	23821	362
985	23833	338
986	23862	314
987	23874	289
988	23884	265
989	23908	241
990	23929	217
991	24014	193
992	24077	169
993	24111	145
994	24138	121
995	24155	97
996	24173	72
997	24210	48
998	24238	24
999	24262	0
