iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
682	223	269	223	340	223	269	340
683	223	269	223	340	223	269	340
684	223	269	223	340	223	269	340
685	223	269	223	340	223	269	340
686	223	269	223	340	223	269	340
687	223	269	223	340	223	269	340
688	223	269	223	340	223	269	340
689	223	269	223	340	223	269	340
690	223	269	223	340	223	269	340
691	223	269	223	340	223	269	340
692	223	269	223	340	223	269	340
693	223	269	223	340	223	269	340
694	223	269	223	340	223	269	340
695	223	269	223	340	223	269	340
696	223	269	223	340	223	269	340
697	223	269	223	340	223	269	340
698	223	269	223	340	223	269	340
699	223	269	223	340	223	269	340
700	223	269	223	340	223	269	340
701	223	269	223	340	223	269	340
702	223	269	223	340	223	269	340
703	223	269	223	340	223	269	340
704	223	269	223	340	223	269	340
705	223	269	223	340	223	269	340
706	223	269	223	340	223	269	340
707	223	269	223	340	223	269	340
708	223	269	223	340	223	269	340
709	223	269	223	340	223	269	340
710	223	269	223	340	223	269	340
711	223	269	223	340	223	269	340
712	223	269	223	340	223	269	340
713	223	269	223	340	223	269	340
714	223	269	223	340	223	269	340
715	223	269	223	340	223	269	340
716	223	269	223	340	223	269	340
717	223	269	223	340	223	269	340
718	223	269	223	340	223	269	340
719	223	269	223	340	223	269	340
720	223	269	223	340	223	269	340
721	223	269	223	340	223	269	340
722	223	269	223	340	223	269	340
723	223	269	223	340	223	269	340
724	223	269	223	340	223	269	340
725	223	269	223	340	223	269	340
726	223	269	223	340	223	269	340
727	223	269	223	340	223	269	340
728	223	269	223	340	223	269	340
729	223	269	223	340	223	269	340
730	223	269	223	340	223	269	340
731	223	269	223	340	223	269	340
732	223	269	223	340	223	269	340
733	223	269	223	340	223	269	340
734	223	269	223	340	223	269	340
735	223	269	223	340	223	269	340
736	223	269	223	340	223	269	340
737	223	269	223	340	223	269	340
738	223	269	223	340	223	269	340
739	223	269	223	340	223	269	340
740	223	269	223	340	223	269	340
741	223	269	223	340	223	269	340
742	223	269	223	340	223	269	340
743	223	269	223	340	223	269	340
744	223	269	223	340	223	269	340
745	223	269	223	340	223	269	340
746	223	269	223	340	223	269	340
747	223	269	223	340	223	269	340
748	223	269	223	340	223	269	340
749	223	269	223	340	223	269	340
750	223	269	223	340	223	269	340
751	223	269	223	340	223	269	340
752	223	269	223	340	223	269	340
753	223	269	223	340	223	269	340
754	223	269	223	340	223	269	340
755	223	269	223	340	223	269	340
756	223	269	223	340	223	269	340
757	223	269	223	340	223	269	340
758	223	269	223	340	223	269	340
759	223	269	223	340	223	269	340
760	223	269	223	340	223	269	340
761	223	270	223	340	223	270	340
762	223	270	223	340	223	270	340
763	223	270	223	340	223	270	340
764	223	270	223	340	223	270	340
765	223	270	223	340	223	270	340
766	223	270	223	340	223	270	340
767	223	270	223	340	223	270	340
768	223	270	223	340	223	270	340
769	223	270	223	340	223	270	340
770	223	270	223	340	223	270	340
771	223	270	223	340	223	270	340
772	223	270	223	340	223	270	340
773	223	270	223	340	223	270	340
774	223	270	223	340	223	270	340
775	223	270	223	340	223	270	340
776	223	270	223	340	223	270	340
777	223	270	223	340	223	270	340
778	223	270	223	340	223	270	340
779	223	270	223	340	223	270	340
780	223	270	223	340	223	270	340
781	223	270	223	340	223	270	340
782	223	270	223	340	223	270	340
783	223	270	223	340	223	270	340
784	223	270	223	340	223	270	340
785	223	270	223	340	223	270	340
786	223	269	223	340	223	269	340
787	223	270	223	340	223	270	340
788	223	270	223	340	223	270	340
